,Year,Ethnicity,Gender,Protected_7,Protected_6,Protected_8,Athlete,Program,Protected_5,Next_Fall_Not_Discontinued,Four_Year_Not_Discontinued,Four_Year_Completed,Six_Year_Completed
32,2012-13,White,Male,0,9.684833906,0,Tennis,Engineering,67,1,0,0,0
33,2012-13,White,Male,1,9.11482017,0,Not an Athlete,Nursing,78,1,0,0,0
34,2012-13,White,Female,0,8.374246182,1,Not an Athlete,Biology,33,1,0,0,0
35,2012-13,White,Female,0,2.890371758,1,Not an Athlete,Biblical Studies,11,1,0,0,0
36,2012-13,White,Female,0,9.141097469,0,Not an Athlete,Undeclared,68,0,0,0,0
37,2012-13,Two or more races,Female,0,9.232297539,0,Soccer,Undeclared,36,0,0,0,0
38,2012-13,White,Female,0,11.38925388,0,Not an Athlete,Health & Human Performance,68,0,0,0,0
39,2012-13,White,Male,0,0,1,Not an Athlete,Business,69,0,0,0,0
40,2012-13,White,Male,0,10.25836087,0,Not an Athlete,Undeclared,89,1,1,1,1
41,2012-13,White,Female,0,9.99510912,0,Soccer,Health & Human Performance,55,1,1,1,1
42,2012-13,White,Male,0,9.644457723,0,Not an Athlete,Business,90,1,1,1,1
43,2012-13,White,Male,1,6.356107661,1,Not an Athlete,Chemistry,68,1,0,0,0
44,2012-13,Hispanic,Female,0,0,1,Not an Athlete,Psychology,48,1,1,1,1
45,2012-13,White,Female,1,9.277905558,0,Not an Athlete,Business,12,0,0,0,0
46,2012-13,White,Female,1,9.462032507,0,Not an Athlete,Nursing,28,1,1,0,1
47,2012-13,White,Female,0,10.01837752,0,Not an Athlete,Undeclared,67,1,0,0,0
48,2012-13,White,Female,0,10.50207677,0,Not an Athlete,Nursing,69,1,1,0,1
49,2012-13,White,Male,0,0,1,Not an Athlete,Undeclared,64,1,0,0,0
50,2012-13,White,Male,1,0,1,Soccer,Biology,16,0,0,0,0
51,2012-13,Two or more races,Male,0,0,1,Track (Outdoor),Health & Human Performance,78,1,1,0,0
52,2012-13,Two or more races,Female,0,0,1,Not an Athlete,Undeclared,55,1,0,0,0
53,2012-13,Hispanic,Male,0,5.953243334,1,Soccer,Undeclared,5,0,0,0,0
54,2012-13,White,Male,0,12.50000266,0,Not an Athlete,Business,68,1,1,0,1
55,2013-14,White,Female,0,9.715711145,0,Not an Athlete,Undergrad Teacher Education,81,1,1,1,1
56,2013-14,Two or more races,Male,1,8.932872622,0,Track (Outdoor),Engineering,78,1,1,0,1
57,2013-14,Hispanic,Female,0,8.57035474,0,Not an Athlete,Biology,60,0,0,0,0
58,2013-14,White,Female,0,0,1,Not an Athlete,Health & Human Performance,99,1,1,1,1
59,2013-14,White,Female,0,10.58103875,0,Not an Athlete,Psychology,97,1,1,1,1
60,2013-14,White,Female,1,0,1,Not an Athlete,Biology,99,0,0,0,0
61,2013-14,White,Female,0,0,1,Not an Athlete,Cinematic Arts,83,0,0,0,0
62,2013-14,White,Male,0,8.816705016,0,Not an Athlete,Engineering,87,1,0,0,0
63,2013-14,White,Female,0,9.577757412,0,Not an Athlete,Psychology,87,1,1,1,1
64,2013-14,White,Male,0,8.522976436,1,Not an Athlete,Business,76,1,1,1,1
65,2013-14,White,Male,0,9.316320696,0,Not an Athlete,Engineering,84,1,1,1,1
66,2013-14,White,Female,1,8.54907938,0,Not an Athlete,Undergrad Social Work,76,1,1,1,1
67,2013-14,White,Female,0,9.851615143,0,Lacrosse,Psychology,62,0,0,0,0
68,2013-14,White,Female,0,10.04185722,0,Volleyball,Business,98,1,1,1,1
69,2013-14,Unknown Race and Ethnicity,Male,0,9.667701926,0,Two or more sports,Athletic Training,74,0,0,0,0
70,2013-14,White,Female,0,9.034795799,0,Not an Athlete,Undeclared,93,0,0,0,0
71,2013-14,White,Male,0,9.225524507,0,Not an Athlete,Engineering,79,1,1,1,1
72,2013-14,Two or more races,Female,0,7.700295203,1,Not an Athlete,Art & Design,67,1,1,1,1
73,2013-14,White,Female,0,10.01395501,0,Not an Athlete,English,91,1,1,1,1
74,2013-14,White,Male,0,8.106212903,1,Not an Athlete,Undeclared,92,0,0,0,0
75,2013-14,White,Male,1,9.622979684,0,Track (Outdoor),Engineering,85,1,1,1,1
76,2013-14,White,Female,0,11.12724828,0,Two or more sports,Nursing,79,1,0,0,0
77,2013-14,White,Female,0,7.800572655,1,Not an Athlete,Undeclared,16,1,1,0,1
78,2013-14,White,Male,1,9.618601567,0,Not an Athlete,Nursing,44,0,0,0,0
79,2013-14,Asian,Female,0,9.629116494,0,Two or more sports,Engineering,97,1,1,1,1
80,2013-14,White,Female,0,6.510258341,1,Not an Athlete,Business,72,1,1,1,1
81,2013-14,White,Female,0,9.343646739,0,Not an Athlete,Athletic Training,53,1,1,1,1
82,2013-14,Hispanic,Female,0,8.444837529,1,Not an Athlete,Undeclared,46,1,1,1,1
83,2013-14,White,Male,0,11.42920684,0,Not an Athlete,Biology,90,1,0,0,0
84,2013-14,White,Male,1,9.176369852,0,Not an Athlete,Art & Design,73,1,1,1,1
85,2013-14,White,Male,0,8.855235623,0,Not an Athlete,Politics,91,1,1,1,1
86,2013-14,White,Male,0,9.233568498,0,Not an Athlete,Engineering,40,1,1,0,1
87,2013-14,White,Female,0,10.14132265,0,Basketball,Business,51,1,1,1,1
88,2013-14,White,Female,0,0,1,Not an Athlete,Psychology,65,1,1,1,1
89,2013-14,Two or more races,Female,0,0,1,Not an Athlete,Theatre,56,1,1,1,1
90,2013-14,Hispanic,Male,1,6.597145702,1,Football,Engineering,83,1,1,1,1
91,2013-14,Hispanic,Female,1,8.121183242,1,Soccer,Undeclared,0,1,0,0,0
92,2013-14,White,Female,1,10.62929552,0,Not an Athlete,Cinematic Arts,69,1,1,1,1
93,2013-14,White,Female,0,8.830835366,0,Not an Athlete,Psychology,55,1,1,1,1
94,2013-14,White,Female,0,5.710427017,1,Not an Athlete,Undeclared,90,0,0,0,0
95,2013-14,White,Female,1,8.556413905,0,Tennis,Biology,74,1,0,0,0
96,2013-14,White,Male,0,10.49684202,0,Basketball,Business,38,1,1,1,1
97,2013-14,White,Female,0,8.753687227,0,Not an Athlete,Business,83,1,1,0,1
98,2013-14,White,Male,1,0,1,Not an Athlete,Athletic Training,59,1,1,1,1
99,2013-14,White,Male,0,9.597234094,0,Not an Athlete,Engineering,79,1,1,1,1
100,2013-14,Hispanic,Female,0,8.698180525,0,Not an Athlete,Psychology,19,1,1,1,1
101,2013-14,White,Male,0,9.49295965,0,Not an Athlete,Engineering,99,1,1,1,1
102,2013-14,Two or more races,Male,0,8.380915173,1,Not an Athlete,Engineering,85,1,1,1,1
103,2013-14,Native Hawaiian or Other Pacific Islander,Female,1,9.616738378,0,Not an Athlete,Engineering,60,1,1,0,0
104,2013-14,White,Male,0,10.2213593,0,Not an Athlete,Business,57,1,1,1,1
105,2013-14,White,Female,0,4.248495242,1,Not an Athlete,Art & Design,69,1,1,0,1
106,2013-14,White,Male,0,3.36729583,1,Not an Athlete,Engineering,76,1,1,1,1
107,2013-14,White,Female,0,10.83995339,0,Not an Athlete,Undergrad Teacher Education,99,1,1,1,1
108,2013-14,White,Female,0,10.59255141,0,Not an Athlete,Nursing,95,1,0,0,0
109,2013-14,Two or more races,Male,0,0,1,Not an Athlete,Biblical Studies,69,0,0,0,0
110,2013-14,White,Female,0,8.27614022,1,Not an Athlete,Undeclared,93,1,1,1,1
111,2013-14,Two or more races,Female,1,10.13169824,0,Not an Athlete,Athletic Training,48,1,0,0,0
112,2013-14,White,Female,1,6.91274282,1,Not an Athlete,Nursing,33,1,1,1,1
113,2013-14,White,Female,0,8.367996885,1,Not an Athlete,Nursing,74,1,1,1,1
114,2013-14,White,Female,0,11.29192961,0,Not an Athlete,English,97,1,1,1,1
115,2013-14,White,Female,0,6.618738984,1,Track (Outdoor),Music,51,1,1,1,1
116,2013-14,Hispanic,Female,0,0,1,Not an Athlete,Biology,79,1,0,0,0
117,2013-14,White,Male,0,10.63842426,0,Not an Athlete,Undeclared,34,0,0,0,0
118,2013-14,Hispanic,Female,1,9.8667717,0,Not an Athlete,Biology,46,1,0,0,0
119,2013-14,White,Female,1,9.865785685,0,Softball,Nursing,40,1,1,0,0
120,2013-14,White,Male,0,9.698613591,0,Not an Athlete,Athletic Training,34,0,0,0,0
121,2013-14,White,Female,0,8.251663924,1,Not an Athlete,Undeclared,99,1,0,0,0
122,2013-14,Hispanic,Female,1,0,1,Not an Athlete,Spanish,16,1,1,1,1
123,2013-14,White,Male,0,8.604654467,0,Cross Country,Engineering,74,1,1,1,1
124,2013-14,White,Female,0,8.865593999,0,Not an Athlete,Nursing,55,1,1,1,1
125,2013-14,White,Male,0,9.680906343,0,Not an Athlete,Cinematic Arts,78,1,1,1,1
126,2013-14,Native Hawaiian or Other Pacific Islander,Female,0,8.589885877,0,Not an Athlete,Art & Design,72,1,1,1,1
127,2013-14,White,Female,1,7.472500745,1,Not an Athlete,Nursing,38,1,1,1,1
128,2013-14,White,Male,0,8.525558108,1,Not an Athlete,Engineering,81,1,0,0,0
129,2013-14,White,Female,0,11.27855665,0,Golf,Biology,95,1,1,1,1
130,2013-14,White,Female,0,10.11641914,0,Not an Athlete,English,60,0,0,0,0
131,2013-14,White,Male,0,0,1,Not an Athlete,Undeclared,34,0,0,0,0
132,2013-14,White,Female,0,12.50000266,0,Not an Athlete,Art & Design,90,1,0,0,0
133,2013-14,White,Male,0,12.50000266,0,Soccer,Biology,90,1,1,1,1
134,2013-14,White,Male,0,12.50000266,0,Two or more sports,Athletic Training,29,1,1,1,1
135,2013-14,White,Male,0,12.50000266,0,Not an Athlete,Undeclared,74,1,0,0,0
136,2010-11,Black or African American,Male,1,8.273591798,1,Not an Athlete,Engineering,41,0,0,0,0
137,2010-11,White,Female,1,7.420578905,1,Not an Athlete,Art & Design,83,1,1,1,1
138,2010-11,White,Female,0,0,1,Not an Athlete,Undeclared,11,1,0,0,0
139,2010-11,White,Male,0,8.614501374,0,Not an Athlete,Cinematic Arts,55,1,1,1,1
140,2010-11,White,Female,0,9.92490652,0,Track (Outdoor),Athletic Training,83,1,0,0,0
141,2010-11,White,Female,0,9.81809305,0,Not an Athlete,Nursing,44,1,1,1,1
142,2010-11,Hispanic,Female,1,0,1,Not an Athlete,Nursing,22,1,1,0,1
143,2010-11,White,Female,0,10.34823747,0,Not an Athlete,Biology,98,1,1,1,1
144,2010-11,White,Female,0,9.461565907,0,Not an Athlete,Biology,65,0,0,0,0
145,2010-11,White,Male,0,8.925321417,0,Not an Athlete,Psychology,62,1,1,1,1
146,2010-11,Unknown Race and Ethnicity,Male,1,11.51291546,0,Not an Athlete,Undeclared,86,1,0,0,0
147,2010-11,White,Female,0,7.785720897,1,Not an Athlete,Spanish,68,1,1,1,1
148,2010-11,White,Female,0,7.109879463,1,Volleyball,Undeclared,14,1,0,0,0
149,2010-11,White,Female,0,0,1,Not an Athlete,Nursing,94,1,1,1,1
150,2010-11,Unknown Race and Ethnicity,Male,0,9.847816268,0,Soccer,Engineering,85,1,1,1,1
151,2010-11,White,Male,0,10.33250641,0,Not an Athlete,Engineering,68,1,1,1,1
152,2010-11,White,Female,0,10.04076816,0,Not an Athlete,Undergrad Teacher Education,68,0,0,0,0
153,2010-11,White,Female,0,8.515191189,1,Not an Athlete,Chemistry,88,1,1,1,1
154,2010-11,White,Male,0,9.949941657,0,Not an Athlete,Biology,88,1,0,0,0
155,2010-11,Native Hawaiian or Other Pacific Islander,Male,0,9.999024979,0,Two or more sports,Engineering,57,0,0,0,0
156,2010-11,White,Male,0,8.50512061,1,Not an Athlete,Psychology,93,1,1,1,1
157,2010-11,White,Male,0,8.78201597,0,Not an Athlete,Biology,85,1,0,0,0
158,2010-11,White,Female,0,5.655991811,1,Not an Athlete,Psychology,51,1,0,0,0
159,2010-11,White,Female,1,8.029107055,1,Not an Athlete,Chemistry,79,1,1,0,0
160,2010-11,Asian,Female,0,0,1,Not an Athlete,Art & Design,31,1,0,0,0
161,2010-11,White,Female,0,10.11127378,0,Not an Athlete,Undergrad Teacher Education,88,0,0,0,0
162,2010-11,White,Female,0,9.653550746,0,Not an Athlete,Spanish,72,1,1,1,1
163,2010-11,White,Female,0,10.22306792,0,Not an Athlete,Music,68,0,0,0,0
164,2010-11,White,Male,0,8.930890984,0,Not an Athlete,Undeclared,68,0,0,0,0
165,2010-11,White,Male,1,9.326611154,0,Not an Athlete,Theatre,68,1,0,0,0
166,2010-11,White,Female,0,10.31982666,0,Not an Athlete,Cinematic Arts,78,1,1,1,1
167,2010-11,Hispanic,Male,0,8.994792897,0,Not an Athlete,Business,49,1,1,1,1
168,2010-11,White,Male,0,9.950275714,0,Baseball,Undeclared,23,1,1,1,1
169,2010-11,White,Male,0,9.861831877,0,Track (Outdoor),History,60,1,0,0,0
170,2010-11,White,Female,0,9.927301731,0,Two or more sports,Undergrad Teacher Education,93,1,1,1,1
171,2010-11,Unknown Race and Ethnicity,Female,1,8.020927719,1,Not an Athlete,Undergrad Teacher Education,53,1,1,1,1
172,2010-11,White,Male,0,8.76561455,0,Track (Outdoor),Mathematics,89,1,0,0,0
173,2010-11,White,Female,0,9.286096984,0,Not an Athlete,Undergrad Social Work,99,1,1,1,1
174,2010-11,White,Female,0,11.51291546,0,Soccer,Undeclared,44,0,0,0,0
175,2010-11,White,Female,0,8.707978827,0,Not an Athlete,Athletic Training,62,1,1,1,1
176,2010-11,White,Female,1,0,1,Not an Athlete,Undeclared,48,1,1,0,1
177,2010-11,Black or African American,Female,0,9.664976524,0,Not an Athlete,Nursing,7,1,1,1,1
178,2010-11,White,Female,1,10.5778341,0,Basketball,Athletic Training,38,1,1,1,1
179,2010-11,Hispanic,Male,0,0,1,Soccer,Business,65,0,0,0,0
180,2010-11,Asian,Female,0,8.768418727,0,Not an Athlete,Biology,36,1,1,0,0
181,2010-11,Hispanic,Male,1,0,1,Not an Athlete,Engineering,55,1,0,0,0
182,2010-11,Hispanic,Female,1,4.882801923,1,Not an Athlete,Biology,49,1,0,0,0
183,2010-11,White,Male,0,0,1,Not an Athlete,Undeclared,36,1,1,0,1
184,2010-11,Hispanic,Male,0,6.148468296,1,Not an Athlete,Health & Human Performance,60,1,1,1,1
185,2010-11,White,Male,0,9.44169016,0,Not an Athlete,Music,57,1,1,1,1
186,2010-11,Hispanic,Male,0,12.50000266,0,Soccer,Engineering,5,1,1,1,1
187,2011-12,Hispanic,Male,0,8.398860004,1,Not an Athlete,Art & Design,53,1,1,1,1
188,2011-12,White,Female,0,9.713718331,0,Not an Athlete,International Studies,87,1,0,0,0
189,2011-12,White,Female,0,9.219300113,0,Not an Athlete,Athletic Training,81,1,1,1,1
190,2011-12,White,Female,0,7.768110379,1,Not an Athlete,English,59,1,1,1,1
191,2011-12,White,Male,0,0,1,Not an Athlete,Engineering,83,1,1,1,1
192,2011-12,White,Male,0,7.717351272,1,Not an Athlete,Engineering,76,1,1,1,1
193,2011-12,White,Female,0,10.01753027,0,Not an Athlete,Psychology,88,1,1,1,1
194,2011-12,White,Male,1,8.794521852,0,Baseball,Undeclared,47,0,0,0,0
195,2011-12,White,Male,1,0,1,Not an Athlete,Engineering,83,1,0,0,0
196,2011-12,White,Male,0,9.403684292,0,Not an Athlete,Engineering,82,1,1,1,1
197,2011-12,White,Female,0,7.885329239,1,Not an Athlete,Undergrad Teacher Education,84,1,1,1,1
198,2011-12,White,Male,0,7.43838353,1,Not an Athlete,Cinematic Arts,77,1,1,1,1
199,2011-12,White,Female,0,0,1,Not an Athlete,History,87,0,0,0,0
200,2011-12,Asian,Male,0,8.518192692,1,Not an Athlete,Cinematic Arts,85,1,1,1,1
201,2011-12,White,Male,0,9.975947739,0,Not an Athlete,Business,78,1,1,0,1
202,2011-12,White,Female,0,10.87470198,0,Not an Athlete,Health & Human Performance,79,1,1,1,1
203,2011-12,White,Female,0,11.10223171,0,Not an Athlete,Sociology,29,1,0,0,0
204,2011-12,White,Male,0,9.743964132,0,Track (Outdoor),Engineering,85,0,0,0,0
205,2011-12,White,Female,1,0,1,Not an Athlete,Undergrad Teacher Education,53,1,0,0,0
206,2011-12,White,Female,0,9.295967458,0,Not an Athlete,Health & Human Performance,53,1,1,0,1
207,2011-12,White,Female,0,8.812843434,0,Not an Athlete,Business,74,1,1,1,1
208,2011-12,White,Female,1,0,1,Not an Athlete,Psychology,36,1,0,0,0
209,2011-12,Two or more races,Female,0,8.69064217,0,Not an Athlete,Sociology,62,1,0,0,0
210,2011-12,Two or more races,Female,1,0,1,Not an Athlete,Psychology,53,1,1,1,1
211,2011-12,White,Female,0,9.359880439,0,Not an Athlete,Undeclared,85,1,1,1,1
212,2011-12,White,Male,0,10.16965228,0,Not an Athlete,Cinematic Arts,51,1,1,1,1
213,2011-12,White,Female,0,9.414912538,0,Not an Athlete,Psychology,93,1,1,1,1
214,2011-12,White,Male,1,7.902487437,1,Not an Athlete,Computer Science,82,1,0,0,0
215,2011-12,White,Male,0,8.623533227,0,Baseball,Athletic Training,74,1,1,1,1
216,2011-12,White,Female,0,9.154193211,0,Volleyball,Chemistry,79,0,0,0,0
217,2011-12,White,Female,0,3.912023005,1,Not an Athlete,Psychology,97,0,0,0,0
218,2011-12,Asian,Female,0,9.993053996,0,Not an Athlete,Biology,99,1,1,0,1
219,2011-12,Hispanic,Female,0,9.859796864,0,Not an Athlete,Psychology,55,1,1,0,1
220,2011-12,White,Male,0,9.861884003,0,Not an Athlete,Biblical Studies,97,1,1,1,1
221,2011-12,White,Female,1,0,1,Not an Athlete,Psychology,36,1,1,1,1
222,2011-12,White,Female,0,7.394493107,1,Not an Athlete,Business,53,1,1,1,1
223,2011-12,White,Male,0,10.08497543,0,Track (Outdoor),Biblical Studies,62,0,0,0,0
224,2011-12,White,Female,0,10.73913206,0,Not an Athlete,Health & Human Performance,70,1,1,1,1
225,2011-12,White,Female,1,7.831617276,1,Volleyball,Communication,81,1,1,1,1
226,2011-12,Hispanic,Female,1,0,1,Not an Athlete,History,41,0,0,0,0
227,2011-12,Hispanic,Female,1,0,1,Not an Athlete,Nursing,41,0,0,0,0
228,2011-12,White,Female,0,7.739359203,1,Not an Athlete,Psychology,95,0,0,0,0
229,2011-12,White,Female,0,9.057305736,0,Not an Athlete,Undergrad Teacher Education,42,1,0,0,0
230,2011-12,Two or more races,Female,0,9.928472805,0,Not an Athlete,Art & Design,96,1,1,1,1
231,2011-12,White,Male,0,10.18403171,0,Not an Athlete,Cinematic Arts,44,1,0,0,0
232,2011-12,White,Female,0,9.615872145,0,Not an Athlete,Communication,89,1,1,1,1
233,2011-12,Black or African American,Female,0,0,1,Not an Athlete,Politics,62,1,0,0,0
234,2011-12,White,Male,1,7.446001498,1,Not an Athlete,Communication,47,1,1,1,1
235,2011-12,White,Female,0,0,1,Not an Athlete,Biology,99,1,0,0,0
236,2011-12,White,Male,1,7.374629015,1,Not an Athlete,Psychology,31,1,1,1,1
237,2011-12,White,Female,1,8.606485299,0,Not an Athlete,History,87,1,1,1,1
238,2011-12,White,Female,0,9.5139204,0,Not an Athlete,Cinematic Arts,16,1,1,1,1
239,2011-12,Unknown Race and Ethnicity,Male,1,0,1,Not an Athlete,Undergrad Teacher Education,67,1,1,1,1
240,2011-12,White,Male,0,9.570180302,0,Baseball,Athletic Training,20,1,1,0,1
241,2011-12,White,Female,0,8.781401908,0,Not an Athlete,Undergrad Teacher Education,28,1,0,0,0
242,2011-12,Two or more races,Female,0,0,1,Not an Athlete,Psychology,57,1,1,1,1
243,2011-12,White,Male,0,8.625688788,0,Not an Athlete,Undeclared,93,1,1,1,1
244,2011-12,White,Female,1,6.668228248,1,Soccer,Undeclared,7,0,0,0,0
245,2011-12,White,Female,0,8.453187861,1,Not an Athlete,International Studies,57,1,1,1,1
246,2011-12,White,Female,0,10.44147104,0,Volleyball,Engineering,74,1,1,1,1
247,2011-12,Hispanic,Male,0,12.50000266,0,Not an Athlete,Undeclared,48,1,1,1,1
248,2011-12,Two or more races,Male,0,12.50000266,0,Basketball,Undeclared,87,1,1,1,1
249,2011-12,White,Male,0,12.50000266,0,Not an Athlete,Engineering,65,1,1,1,1
250,2011-12,Two or more races,Male,0,12.50000266,0,Golf,Biblical Studies,74,1,1,1,1
251,2011-12,White,Female,0,12.50000266,0,Not an Athlete,Nursing,93,1,1,1,1
252,2014-15,White,Male,0,7.93701749,1,Not an Athlete,Cinematic Arts,97,1,1,1,1
253,2014-15,White,Male,0,8.621192781,0,Not an Athlete,Undeclared,47,0,0,0,0
254,2014-15,White,Male,0,9.065545787,0,Not an Athlete,Engineering,94,1,0,0,0
255,2014-15,White,Male,0,9.90193635,0,Not an Athlete,Computer Science,75,1,0,0,0
256,2014-15,White,Female,0,8.677269139,0,Not an Athlete,Psychology,98,1,1,1,1
257,2014-15,White,Female,0,8.703672758,0,Not an Athlete,Nursing,76,1,0,0,0
258,2014-15,Asian,Female,0,10.39684143,0,Not an Athlete,Engineering,93,1,1,0,1
259,2014-15,White,Male,0,0,1,Not an Athlete,Engineering,62,0,0,0,0
260,2014-15,White,Female,0,9.919262472,0,Not an Athlete,Biblical Studies,95,1,1,0,1
261,2014-15,Two or more races,Male,0,10.36113389,0,Not an Athlete,Cinematic Arts,90,1,1,1,1
262,2014-15,Two or more races,Male,0,11.25696167,0,Not an Athlete,Business,84,1,1,1,1
263,2014-15,Two or more races,Female,0,9.274159885,0,Not an Athlete,Nursing,40,0,0,0,0
264,2014-15,White,Male,0,10.27773715,0,Not an Athlete,Biology,82,0,0,0,0
265,2014-15,White,Male,0,10.57999709,0,Not an Athlete,Engineering,94,1,1,1,1
266,2014-15,White,Female,0,0,1,Not an Athlete,Undergrad Teacher Education,57,1,1,1,1
267,2014-15,White,Male,0,0,1,Not an Athlete,Art & Design,93,1,1,1,1
268,2014-15,White,Male,0,0,1,Not an Athlete,Computer Science,93,1,1,1,1
269,2014-15,White,Female,0,9.631219406,0,Not an Athlete,Undergrad Teacher Education,40,1,1,1,1
270,2014-15,White,Female,1,10.90601103,0,Not an Athlete,Honors Program,99,1,1,1,1
271,2014-15,White,Male,0,6.768493212,1,Not an Athlete,Biblical Studies,89,1,1,1,1
272,2014-15,White,Male,0,6.768493212,1,Not an Athlete,Communication,89,1,1,1,1
273,2014-15,White,Female,0,9.529375752,0,Lacrosse,Engineering,99,1,1,1,1
274,2014-15,Hispanic,Female,1,0,1,Not an Athlete,Undergrad Teacher Education,47,1,1,1,1
275,2014-15,White,Female,0,9.849506439,0,Not an Athlete,Honors Program,94,1,1,1,1
276,2014-15,Hispanic,Female,0,8.637462024,0,Not an Athlete,Nursing,78,1,1,1,1
277,2014-15,White,Female,0,8.289539485,1,Not an Athlete,Nursing,83,1,0,0,0
278,2014-15,White,Female,0,10.80549679,0,Not an Athlete,Undergrad Teacher Education,50,1,0,0,0
279,2014-15,Hispanic,Female,0,8.257126286,1,Not an Athlete,Nursing,56,1,1,1,1
280,2014-15,White,Female,1,10.69991308,0,Not an Athlete,English,69,1,1,1,1
281,2014-15,Two or more races,Female,0,9.168371887,0,Not an Athlete,Biology,75,0,0,0,0
282,2014-15,White,Female,1,0,1,Not an Athlete,Engineering,76,1,1,1,1
283,2014-15,Hispanic,Female,0,8.623353387,0,Not an Athlete,Nursing,64,0,0,0,0
284,2014-15,White,Male,0,10.07268165,0,Track (Indoor),Biblical Studies,87,1,1,1,1
285,2014-15,White,Male,0,9.892982568,0,Tennis,Computer Science,78,1,1,1,1
286,2014-15,White,Female,0,10.37195876,0,Cross Country,Undeclared,97,1,1,0,1
287,2014-15,White,Female,0,0,1,Not an Athlete,Undeclared,38,0,0,0,0
288,2014-15,Hispanic,Female,1,0,1,Not an Athlete,Undergrad Teacher Education,59,1,1,1,1
289,2014-15,White,Male,1,0,1,Baseball,Athletic Training,63,1,1,0,1
290,2014-15,Two or more races,Male,0,7.36707706,1,Not an Athlete,Business,97,1,1,1,1
291,2014-15,White,Female,0,8.978408315,0,Not an Athlete,Nursing,65,0,0,0,0
292,2014-15,White,Female,0,11.08547545,0,Not an Athlete,Nursing,98,1,1,1,1
293,2014-15,Two or more races,Male,0,9.295508384,0,Not an Athlete,Engineering,75,0,0,0,0
294,2014-15,Hispanic,Female,1,6.514712691,1,Not an Athlete,Undergrad Teacher Education,51,0,0,0,0
295,2014-15,White,Female,0,7.01301579,1,Two or more sports,Nursing,65,1,0,0,0
296,2014-15,White,Male,0,8.500657223,1,Two or more sports,Health & Human Performance,59,0,0,0,0
297,2014-15,White,Female,1,8.467582691,1,Not an Athlete,Biblical Studies,59,1,1,1,1
298,2014-15,White,Male,0,9.12314716,0,Not an Athlete,Engineering,76,0,0,0,0
299,2014-15,White,Male,0,8.000014094,1,Not an Athlete,Engineering,96,1,1,1,1
300,2014-15,White,Male,0,10.88524762,0,Not an Athlete,Biology,95,1,1,1,1
